"date_test","moving_average"
"2021-04-09",73666.000000000000
"2021-04-10",67796.000000000000
"2021-04-11",61215.666666666667
"2021-04-12",60819.750000000000
"2021-04-13",63620.000000000000
"2021-04-14",66140.333333333333
"2021-04-15",67137.142857142857
"2021-04-16",66769.142857142857
"2021-04-17",65745.857142857143
"2021-04-18",64811.285714285714
"2021-04-19",63870.428571428571
"2021-04-20",62613.428571428571
"2021-04-21",60984.857142857143
"2021-04-22",59391.857142857143
"2021-04-23",57587.142857142857
"2021-04-24",56355.571428571429
"2021-04-25",55481.428571428571
"2021-04-26",54466.142857142857
"2021-04-27",53207.428571428571
"2021-04-28",51785.428571428571
"2021-04-29",50764.714285714286
"2021-04-30",49483.714285714286
"2021-05-01",48482.857142857143
"2021-05-02",47534.000000000000
"2021-05-03",46062.000000000000
"2021-05-04",43916.000000000000
"2021-05-05",41562.857142857143
"2021-05-06",38979.142857142857
"2021-05-07",36261.000000000000
"2021-05-08",33518.000000000000
"2021-05-09",30411.428571428571
